id,question,is_medical
1,"What are the symptoms of heart disease?",1
2,"How can I lower my blood pressure naturally?",1
3,"What causes chest pain?",1
4,"Is my pulse rate normal?",1
5,"What are the risk factors for cardiovascular disease?",1
6,"How do I know if I have arrhythmia?",1
7,"What is the normal blood pressure range?",1
8,"Can stress affect my heart health?",1
9,"What are the warning signs of a heart attack?",1
10,"How often should I check my cholesterol?",1
11,"What is the best diet for heart health?",1
12,"Can exercise help with heart problems?",1
13,"What medications are used for hypertension?",1
14,"How do I interpret my ECG results?",1
15,"What causes shortness of breath?",1
16,"Is chest tightness serious?",1
17,"What are the symptoms of angina?",1
18,"How can I prevent heart disease?",1
19,"What is the difference between systolic and diastolic pressure?",1
20,"Can anxiety cause heart palpitations?",1
21,"What are the side effects of beta blockers?",1
22,"How do I know if my heart is healthy?",1
23,"What causes irregular heartbeat?",1
24,"Is it normal to feel heartbeats in my chest?",1
25,"What are the symptoms of heart failure?",1
26,"How can I improve my cardiovascular fitness?",1
27,"What is the treatment for high cholesterol?",1
28,"Can smoking affect my heart?",1
29,"What are the symptoms of a stroke?",1
30,"How do I measure my blood pressure at home?",1
31,"What is the normal heart rate for adults?",1
32,"Can diabetes affect my heart?",1
33,"What causes dizziness and heart problems?",1
34,"How do I know if I need to see a cardiologist?",1
35,"What are the symptoms of myocarditis?",1
36,"Can alcohol affect my heart health?",1
37,"What is the treatment for atrial fibrillation?",1
38,"How can I reduce my risk of heart attack?",1
39,"What are the symptoms of pericarditis?",1
40,"Is it safe to exercise with heart disease?",1
41,"What causes heart murmurs?",1
42,"How do I know if my chest pain is serious?",1
43,"What are the symptoms of heart valve problems?",1
44,"Can obesity affect my heart?",1
45,"What is the treatment for heart rhythm disorders?",1
46,"How do I know if I have high blood pressure?",1
47,"What are the symptoms of coronary artery disease?",1
48,"Can genetics affect my heart health?",1
49,"What is the normal range for triglycerides?",1
50,"How do I know if my heart is working properly?",1
